q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3,queue
749,withdrawn,3/31/2011,,,,CAISO,RE COBB,,PGAE,kern,,,CA,CAISO,Full Capacity,Old River - Kern #1 70 KV,,,Feasibility Study,Solar,Solar,,,5,,,577
785,withdrawn,3/31/2011,,,,CAISO,HIGH DESERT SOLAR,,SCE,kern,,,CA,CAISO,Full Capacity,Silver Queen-Goldtown 69kV line,1/5/2013,,Feasibility Study,Solar,Solar,,,16,,,578
667,withdrawn,3/31/2011,,,,CAISO,ACORN GREENWORKS,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley Substation 230kV,,Executed,IA Executed,Solar,Solar,,,150,,,579
701,withdrawn,3/31/2011,,,,CAISO,EGP SOLAR 1,,SDGE,san diego,,,CA,CAISO,Full Capacity,Borrego Substation 69kV,,,Feasibility Study,Solar,Solar,,,28,,,580
775,operational,3/31/2011,,,,CAISO,MORELOS DEL SOL (FKA TWISSLEMAN I),,PGAE,kern,,,CA,CAISO,Full Capacity,Arco-Twisselman 70 KV,7/10/2014,Executed,IA Executed,Solar,Solar,,,15,,,581
728,withdrawn,3/31/2011,,,,CAISO,MARTELLA SOLAR,,PGAE,kings,,,CA,CAISO,Full Capacity,69 KV   POI is at a designated google coordinates,3/1/2013,,Feasibility Study,Solar,Solar,,,20,,,582
705,operational,3/31/2011,1/24/2014,,2/5/2019,CAISO,FRONTIER SOLAR,,PGAE,kern,,,CA,CAISO,Full Capacity,Arco-Carneras 70 kV line,9/5/2013,Executed,IA Executed,Solar,Solar,,,20,,,583
850,withdrawn,3/31/2011,,,,CAISO,CHALLENGER,,SCE,los angeles,,,CA,CAISO,Full Capacity,Redman-Lancaster 66kV line,,,Feasibility Study,Solar,Solar,,,25,,,584
727,withdrawn,3/31/2011,,,,CAISO,MARICOPA CALIFORNIA SOLAR FARMS II,,PGAE,kern,,,CA,CAISO,Full Capacity,Midway - Wheeler Ridge #1 & #2 230 kV,,,Feasibility Study,Solar,Solar,,,150,,,585
787,withdrawn,3/31/2011,,,,CAISO,REDDY I,,PGAE,kern,,,CA,CAISO,Full Capacity,Arco-Carneras 70 kV Line,10/7/2014,,Feasibility Study,Solar,Solar,,,8,,,586
759,withdrawn,3/31/2011,,,,CAISO,RE TRACTOR,,PGAE,fresno,,,CA,CAISO,Full Capacity,Gates - Coalinga #1 70 KV,,,Feasibility Study,Solar,Solar,,,20,,,587
829,operational,3/31/2011,1/9/2014,,,CAISO,PV2 PANOCHE VALLEY SOLAR (AKA SGE PANOCHE VALLEY SOLAR),,PGAE,san benito,,,CA,CAISO,Full Capacity,Moss-Panoche and Coburn-Panoche 230 KV,,Executed,IA Executed,Solar,Solar,,,140,,,588
686,withdrawn,3/31/2011,,,,CAISO,COLORADO RIVER 48 MW,,SCE,riverside,,,CA,CAISO,Full Capacity,Colorado River Substation 230kV,9/1/2014,,Feasibility Study,Solar,Solar,,,48,,,589
745,withdrawn,3/31/2011,,,,CAISO,RE ALPINE,,PGAE,fresno,,,CA,CAISO,Full Capacity,Coalinga - Gates #1 70 KV,,,Feasibility Study,Solar,Solar,,,20,,,590
746,operational,3/31/2011,4/1/2015,,,CAISO,RE ASTORIA,,SCE,kern,,,CA,CAISO,Full Capacity,Whirlwind Substation 220kV,,Executed,IA Executed,Solar,Solar,,,175,,,591
774,withdrawn,3/31/2011,,,,CAISO,TUNGSTEN MOUNTAIN GEOTHERMAL PROJECT,,SCE,churchill,,,NV,CAISO,Full Capacity,Control Substation 115 kV bus,,,System Impact Study,Other,Steam Turbine,,,38,,,592
816,withdrawn,3/31/2011,,,,CAISO,INSPIRATION SOLAR F,,PGAE,fresno,,,CA,CAISO,Full Capacity,Stroud switching station 70kV,,,Facility Study,Solar,Solar,,,0.1,,,593
796,operational,3/31/2011,3/11/2014,,4/30/2016,CAISO,KINGBIRD SOLAR B (FKA AV SOLAR RANCH 2-B,,SCE,kern,,,CA,CAISO,Full Capacity,Whirlwind Substation 230 kV bus,8/30/2013,Executed,IA Executed,Solar,Solar,,,20,,,594
699,withdrawn,3/31/2011,,,,CAISO,EE BORREGO II,,SDGE,san diego,,,CA,CAISO,Full Capacity,Borrego Substation 69kV bus,6/1/2015,,Feasibility Study,Solar,Solar,,,45,,,595
804,withdrawn,3/31/2011,,,,CAISO,CENTRAL VALLEY II SEGS,,PGAE,kern,,,CA,CAISO,Full Capacity,Arco Substation  230 KV bus,6/30/2015,,Feasibility Study,Other,Steam Turbine,,,540,,,596
682,withdrawn,3/31/2011,,,,CAISO,CALRENEW-1 EXPANSION,,PGAE,fresno,,,CA,CAISO,Full Capacity,Mendota Biomass Tap line 70 KV,2/1/2013,,Feasibility Study,Solar,Solar,,,1.3,,,597
755,withdrawn,3/31/2011,,,,CAISO,RE OIL CITY,,PGAE,fresno,,,CA,CAISO,Full Capacity,Gates - Coalinga #1 70 KV,,,Feasibility Study,Solar,Solar,,,20,,,598
741,withdrawn,3/31/2011,,,,CAISO,PATHFINDER RENEWABLE WIND ENERGY,,SCE,platte,,,WY,CAISO,Full Capacity,Eldorado Substation 500kV Bus,3/3/2016,,System Impact Study,Wind,Wind,,,3000,,,599
803,withdrawn,3/31/2011,,,,CAISO,CENTRAL VALLEY I SEGS,,PGAE,kern,,,CA,CAISO,Full Capacity,Midway - Wheeler Ridge #1 & #2 230 kV,6/30/2015,,Feasibility Study,Other,Steam Turbine,,,1080,,,600
678,active,3/31/2011,3/12/2014,,,CAISO,EXCELSIOR SOLAR (FKA: BURFORD FIVE POINTS),,PGAE,fresno,,,CA,CAISO,Full Capacity,Panoche-Schindler #1 and #2 115 kV Line,9/5/2013,Executed,IA Executed,Solar+Battery,Solar,Battery,,60,60,,601
848,withdrawn,3/31/2011,,,,CAISO,VALLE DEL SOL,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley Substation 12kV Bus,12/1/2013,,System Impact Study,Solar,Solar,,,20,,,602
841,withdrawn,3/31/2011,,,,CAISO,HYDER SOLAR ENERGY PROJECT,,SDGE,yuma,,,AZ,CAISO,Full Capacity,Hassayampa-North Gila 500kV,9/1/2014,,System Impact Study,Other,Steam Turbine,,,250,,,603
761,withdrawn,3/31/2011,,,,CAISO,RE WILLOW SPRINGS,,SCE,kern,,,CA,CAISO,Full Capacity,Cal Cement-Antelope 66kV line,,,Feasibility Study,Solar,Solar,,,20,,,604
711,withdrawn,3/31/2011,,,,CAISO,GREAT VALLEY SOLAR,,PGAE,tulare,,,CA,CAISO,Full Capacity,Corcoran-Smyrna 115kV line,,,Feasibility Study,Solar,Solar,,,120,,,605
708,withdrawn,3/31/2011,,,,CAISO,GOLDEN HILLS 1 WIND,,PGAE,alameda,,,CA,CAISO,Full Capacity,Tesla - Keslo 230 KV,,,Facility Study,Wind,Wind,,,50,,,606
752,withdrawn,3/31/2011,,,,CAISO,RE LINCOLN,,PGAE,kings,,,CA,CAISO,Full Capacity,Guernsey - Henrietta  70 KV,,,Facility Study,Solar,Solar,,,12,,,607
721,withdrawn,3/31/2011,,,,CAISO,LONE TREE WIND,,PGAE,alameda,,,CA,CAISO,Full Capacity,Tesla - Westley 230 KV line,,,Feasibility Study,Wind,Wind,,,299,,,608
691,withdrawn,3/31/2011,,12/29/2011,,CAISO,CREED ENERGY CENTER,,PGAE,solano,,,CA,CAISO,Full Capacity,Lambie Switching Station 230 KV,,,Feasibility Study,Solar,Solar,,,3,,,609
799,withdrawn,3/31/2011,,,,CAISO,ASPIRATION SOLAR D,,PGAE,fresno,,,CA,CAISO,Full Capacity,Mendota-San Joaquin-Helm 70kV,,,Facility Study,Solar,Solar,,,0.1,,,610
858,withdrawn,3/31/2011,,,,CAISO,WILD SANDS SOLAR,,SCE,riverside,,,CA,CAISO,Full Capacity,Devers-Farrel 115kV line,,,System Impact Study,Solar,Solar,,,21,,,611
762,withdrawn,3/31/2011,,,,CAISO,SAGE SOLAR FARM,,PGAE,contra costa,,,CA,CAISO,Full Capacity,Contra Costa-Delta SW Yard 230kV,7/1/2014,,System Impact Study,Solar,Solar,,,70,,,612
844,withdrawn,3/31/2011,,,,CAISO,RE JUNIPER,,SCE,kern,,,CA,CAISO,Full Capacity,Cal Cement-Antelope 66kV line,,,Feasibility Study,Solar,Solar,,,20,,,613
716,withdrawn,3/31/2011,,,,CAISO,JUNIPER SOLAR FARM,,SCE,riverside,,,CA,CAISO,Full Capacity,Colorado River Substation 230kV Bus,7/1/2014,,System Impact Study,Solar,Solar,,,100,,,614
797,withdrawn,3/31/2011,,,,CAISO,HOLLY RANCH,,SCE,riverside,,,CA,CAISO,Full Capacity,Red Bluff Substation 230kV,,,Facility Study,Solar,Solar,,,0.5,,,615
676,withdrawn,3/31/2011,,,,CAISO,BIG HORN 30MW PV PROJECT,,SDGE,san diego,,,CA,CAISO,Full Capacity,Borrego Substation 69kV Bus,,,Feasibility Study,Solar,Solar,,,30,,,616
825,withdrawn,3/31/2011,,,,CAISO,PATRIOT SOLAR B,,PGAE,fresno,,,CA,CAISO,Energy Only,Mendota Sub 115 KV Bus,,,Facility Study,Solar,Solar,,,20,,,617
831,withdrawn,3/31/2011,,,,CAISO,SONORAN WEST I SEGS,,SCE,riverside,,,CA,CAISO,Full Capacity,Colorado River Substation  230kV,1/1/2016,,Facility Study,Other,Steam Turbine,,,270,,,618
836,withdrawn,3/31/2011,,,,CAISO,AREVA SOLAR AZ I,,SDGE,yuma,,,AZ,CAISO,Full Capacity,North Gila Substation 500 kV,12/1/2015,,System Impact Study,Other,Steam Turbine,,,150,,,619
684,withdrawn,3/31/2011,,,,CAISO,CAMDEN 2,,PGAE,fresno,,,CA,CAISO,Full Capacity,Caruthers - Kingsburg 70kV,7/10/2014,,System Impact Study,Solar,Solar,,,7,,,620
747,withdrawn,3/31/2011,,,,CAISO,RE BLUE STAR,,PGAE,kern,,,CA,CAISO,Full Capacity,Smyrna - Semitropic - Midway 115 KV,,,Feasibility Study,Solar,Solar,,,20,,,621
743,withdrawn,3/31/2011,,,,CAISO,BOLTHOUSE SOLAR (FKA PUMPJACK SOLAR),,PGAE,kern,,,CA,CAISO,Full Capacity,Morrow Bay - Midway #1 & #2 230 KV,5/2/2015,,Feasibility Study,Solar,Solar,,,100,,,622
776,withdrawn,3/31/2011,,,,CAISO,UTICA 25MW PV PROJECT,,PGAE,kings,,,CA,CAISO,Full Capacity,Tulare Lake - Arco 70 KV,,,Feasibility Study,Solar,Solar,,,25,,,623
683,withdrawn,3/31/2011,,,,CAISO,CAMDEN 1,,PGAE,fresno,,,CA,CAISO,Full Capacity,Camden Substation 70kV Bus,7/10/2014,,Feasibility Study,Solar,Solar,,,14,,,624
845,withdrawn,3/31/2011,,,,CAISO,SIERRA VIEW SOLAR III,,SCE,kern,,,CA,CAISO,Full Capacity,Corum-Goldtown 69kV line,9/15/2015,,Feasibility Study,Solar,Solar,,,15,,,625
673,withdrawn,3/31/2011,,,,CAISO,ARLINGTON VALLEY SOLAR ENERGY II,,SDGE,maricopa,,,AZ,CAISO,Energy Only,Hassayampa - N. Gila 500 kV line,5/1/2015,,System Impact Study,Solar,Solar,,,250,,,626
695,withdrawn,3/31/2011,,,,CAISO,DIXIE-COMSTOCK GEOTHERMAL PROJECT,,SCE,churchill,,,NV,CAISO,Full Capacity,Control Sub 115kV Bus,,,Facility Study,Other,Steam Turbine,,,38,,,627
722,withdrawn,3/31/2011,,,,CAISO,LOOP RANCH WIND,,SCE,kern,,,CA,CAISO,Full Capacity,Windhub Substation 230kV,,,Feasibility Study,Wind,Wind,,,299,,,628
857,withdrawn,3/31/2011,,,,CAISO,TULARE SOLAR,,SCE,tulare,,,CA,CAISO,Full Capacity,Springville Sub 230 KV Bus,2/28/2014,,Feasibility Study,Solar,Solar,,,150,,,629
689,withdrawn,3/31/2011,,,,CAISO,COWBOY MESA WIND,,SCE,lincoln,,,NM,CAISO,Full Capacity,Four Corners Sub 345kV Bus,5/1/2016,,Feasibility Study,Wind,Wind,,,1700,,,630
675,withdrawn,3/31/2011,,,,CAISO,BELLOTA SOLAR FARM,,PGAE,san joaquin,,,CA,CAISO,Full Capacity,Bellota - Tesla 230 kV Tap,6/1/2014,,Feasibility Study,Solar,Solar,,,100,,,631
808,withdrawn,3/31/2011,,,,CAISO,CVH POWER II,,SCE,maricopa,,,AZ,CAISO,Full Capacity,Harquahala Substation 500kV,9/15/2014,,Feasibility Study,Solar,Solar,,,700,,,632
757,withdrawn,3/31/2011,,,,CAISO,RE PALMER,,PGAE,fresno,,,CA,CAISO,Full Capacity,Gates - Coalinga #1 70 KV,,,Feasibility Study,Solar,Solar,,,20,,,633
782,withdrawn,3/31/2011,,,,CAISO,CSED BARSTOW ROAD 100 MW PV GENERATING STATION,,SCE,san bernardino,,,CA,CAISO,Full Capacity,Jasper Switching Station 220kV bus,6/1/2014,,System Impact Study,Solar,Solar,,,100,,,634
710,withdrawn,3/31/2011,,12/29/2011,,CAISO,GOOSE HAVEN ENERGY CENTER,,PGAE,solano,,,CA,CAISO,Full Capacity,Lambie Switching Station 230 KV,,,Feasibility Study,Solar,Solar,,,3,,,635
810,withdrawn,3/31/2011,,,,CAISO,FRESNO SOLAR,,PGAE,fresno,,,CA,CAISO,Full Capacity,Gates-McCall 230kV,2/28/2014,,Feasibility Study,Solar,Solar,,,100,,,636
778,operational,3/31/2011,3/9/2016,,,CAISO,NORTH LANCASTER SOLAR (FKA WESTERN ANTELOPE DRY RANCH ADDITION),,SCE,los angeles,,,CA,CAISO,Energy Only,Antelope Substation 66 kV bus,,Executed,IA Executed,Solar,Solar,,,20,,,637
731,withdrawn,3/31/2011,,,,CAISO,MIMOSA SOLAR FARM,,PGAE,fresno,,,CA,CAISO,Full Capacity,Kearney Sub 230 KV,7/1/2014,,Feasibility Study,Solar,Solar,,,75,,,638
729,withdrawn,3/31/2011,,,,CAISO,MENDOTA SOLAR I,,PGAE,fresno,,,CA,CAISO,Full Capacity,Mendota Sub 115 KV Bus,10/1/2013,,Feasibility Study,Solar,Solar,,,75,,,639
837,withdrawn,3/31/2011,,,,CAISO,JACUMBA II SOLAR FARM,,SDGE,san diego,,,CA,CAISO,Full Capacity,East County (ECO) Substation 138kV,5/1/2013,,System Impact Study,Solar,Solar,,,20,,,640
715,withdrawn,3/31/2011,,,,CAISO,JACOBS CORNER SOLAR,,PGAE,kings,,,CA,CAISO,Full Capacity,Jacob Corner Substation 70KV Bus,2/1/2013,,Feasibility Study,Solar,Solar,,,14,,,641
703,withdrawn,3/31/2011,,,,CAISO,ENRICO MATSON III,,PGAE,fresno,,,CA,CAISO,Full Capacity,Panoche - Oro Loma 115 KV Tap,6/23/2014,,System Impact Study,Solar,Solar,,,100,,,642
756,withdrawn,3/31/2011,,,,CAISO,RE PADRE,,SDGE,san diego,,,CA,CAISO,Full Capacity,Borrego substation 69kV,,,Feasibility Study,Solar,Solar,,,60,,,643
714,withdrawn,3/31/2011,,,,CAISO,HIDDEN HILLS RANCH,,VEA,nye,,,NV,CAISO,Full Capacity,Crazy Eye Tap Substation 230kV,6/30/2014,,Facility Study,Solar,Solar,,,540,,,644
735,withdrawn,3/31/2011,,12/21/2011,,CAISO,MOUNT SIGNAL SOLAR FARM III,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley Substation 230kV,6/1/2014,,Feasibility Study,Solar,Solar,,,200,,,645
863,withdrawn,3/31/2011,,,,CAISO,LEMOORE WWTP SOLAR,,PGAE,kings,,,CA,CAISO,Full Capacity,Guernsey - Henrietta 70 KV line,7/31/2012,,System Impact Study,Solar,Solar,,,7.8,,,646
864,withdrawn,3/31/2011,,,,CAISO,MADDOX DAIRY SOLAR,,PGAE,fresno,,,CA,CAISO,Full Capacity,Stroud  70 KV substation,8/31/2012,,System Impact Study,Solar,Solar,,,20,,,647
690,withdrawn,3/31/2011,,,,CAISO,CPV NORTH CITY,,SDGE,san diego,,,CA,CAISO,Full Capacity,Approx 4 mi south of the Penasquitos sub along the East side of the Penasquitos-Old Town 230kV line,6/30/2015,,Feasibility Study,Gas,Gas,,,300,,,648
700,withdrawn,3/31/2011,,,,CAISO,EE ROSAMOND,,SCE,kern,,,CA,CAISO,Full Capacity,Rosamond-Del Sur 66kV line,,,System Impact Study,Solar,Solar,,,20,,,649
688,withdrawn,3/31/2011,,,,CAISO,COSTA,,PGAE,kings,,,CA,CAISO,Full Capacity,Henrietta - Lemoore 70 kV,8/30/2013,,Facility Study,Solar,Solar,,,19,,,650
771,withdrawn,3/31/2011,,,,CAISO,TA-EAST LANCASTER,,SCE,los angeles,,,CA,CAISO,Full Capacity,Plute-Lancaster 66kV line,3/3/2012,,Feasibility Study,Solar,Solar,,,14,,,651
679,operational,3/31/2011,1/24/2014,,6/16/2017,CAISO,BURFORD GIFFEN,,PGAE,fresno,,,CA,CAISO,Full Capacity,Giffen substation 70 KV,9/5/2013,Executed,IA Executed,Solar,Solar,,,20,,,652
828,withdrawn,3/31/2011,,,,CAISO,SEMITROPIC SOLAR,,PGAE,kern,,,CA,CAISO,Full Capacity,Smyrna Sub 115 KV Bus,4/30/2014,,Feasibility Study,Solar,Solar,,,50,,,653
674,withdrawn,3/31/2011,,,,CAISO,AS LH PV 20MW,,PGAE,kern,,,CA,CAISO,Full Capacity,Arco - Polonios Pass 70kV,11/1/2013,,Feasibility Study,Solar,Solar,,,20,,,654
702,withdrawn,3/31/2011,,,,CAISO,EL SEGUNDO ENERGY CENTER 2 ( FKA EL SEGUNDO ENERGY CENTER-II),,SCE,los angeles,,,CA,CAISO,Full Capacity,El Segundo Substation 230kV Bus,6/1/2017,Executed,IA Executed,Gas,Gas,,,435,,,655
790,withdrawn,3/31/2011,,,,CAISO,SUNSHINE 3,,SCE,kern,,,CA,CAISO,Full Capacity,Antelope-Rosamond 66kV line,6/1/2014,,Feasibility Study,Solar,Solar,,,45,,,656
758,withdrawn,3/31/2011,,,,CAISO,RE SOLEDAD,,SCE,kern,,,CA,CAISO,Full Capacity,Goldtown-Corum or Goldtown-Lancaster 66kV line,,,Feasibility Study,Solar,Solar,,,20,,,657
854,withdrawn,3/31/2011,,,,CAISO,MURPHY 1,,SCE,riverside,,,CA,CAISO,Full Capacity,Blythe Substation 161kV bus,6/23/2014,,System Impact Study,Solar,Solar,,,37,,,658
798,withdrawn,3/31/2011,,,,CAISO,SP BLYTHE 1,,SCE,riverside,,,CA,CAISO,Energy Only,Colorado River Substation 230kV,,,Facility Study,Solar,Solar,,,221,,,659
802,withdrawn,3/31/2011,,,,CAISO,CANDLEWOOD WIND,,SDGE,imperial,,,CA,CAISO,Energy Only,500kV at Ocotillo Express,,,Feasibility Study,Wind,Wind,,,150,,,660
719,withdrawn,3/31/2011,,12/29/2011,,CAISO,LAMBIE ENERGY CENTER,,PGAE,solano,,,CA,CAISO,Full Capacity,Lambie Switching Station 230 KV,,,Feasibility Study,Solar,Solar,,,3,,,661
838,operational,3/31/2011,10/1/2018,,11/4/2022,CAISO,BLUE HORNET SOLAR,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley Substation 230 kV,,Executed,IA Executed,Solar,Solar,,,100,,,662
726,withdrawn,3/31/2011,,,,CAISO,MARICOPA CALIFORNIA SOLAR FARMS I,,PGAE,kern,,,CA,CAISO,Full Capacity,Midway - Wheeler Ridge #1 and #2 230 kV,,,Feasibility Study,Solar,Solar,,,150,,,663
773,withdrawn,3/31/2011,,,,CAISO,THUNDERHILL SOLAR POWER UNIT 2,,PGAE,glenn,,,CA,CAISO,Full Capacity,Elk Creek 60 KV Tap,6/1/2013,,Feasibility Study,Solar,Solar,,,18,,,664
840,withdrawn,3/31/2011,,,,CAISO,DESERT QUARTZITE SOLAR,,SCE,riverside,,,CA,CAISO,Full Capacity,Colorado River Substation 230kV bus,,,System Impact Study,Solar,Solar,,,300,,,665
718,withdrawn,3/31/2011,,,,CAISO,KINGSOLAR III,,PGAE,kings,,,CA,CAISO,Energy Only,Arco Sub 70 KV Bus,2/28/2013,,System Impact Study,Solar,Solar,,,20,,,666
814,withdrawn,3/31/2011,,,,CAISO,INSPIRATION SOLAR C,,PGAE,fresno,,,CA,CAISO,Full Capacity,Stroud switching station 70kV,,,Facility Study,Solar,Solar,,,0.1,,,667
834,withdrawn,3/31/2011,,,,CAISO,WELLHEAD POWER KERN 1,,SCE,kern,,,CA,CAISO,Full Capacity,Gorman-Kern River 66kV line,6/1/2013,,System Impact Study,Gas,Gas,,,49,,,668
823,withdrawn,3/31/2011,,,,CAISO,NORTH VALLEY SOLAR,,PGAE,fresno,,,CA,CAISO,Full Capacity,Oro Loma - Panoche 115 KV,,,Facility Study,Solar,Solar,,,0.1,,,669
805,withdrawn,3/31/2011,,,,CAISO,CITIZEN SOLAR C,,PGAE,fresno,,,CA,CAISO,Full Capacity,Mendota-San Joaquin-Helm 69K,,,Facility Study,Solar,Solar,,,0.1,,,670
737,withdrawn,3/31/2011,,,,CAISO,NAS NORTH ISLAND COGENERATION,,SDGE,san diego,,,CA,CAISO,Full Capacity,North Island Metering Station 69 kV,12/1/2011,Executed,IA Executed,Gas,Gas,,,4.7,,,671
812,withdrawn,3/31/2011,,,,CAISO,GRAHAM SOLAR FARM II,,PGAE,fresno,,,CA,CAISO,Full Capacity,Schindler Substation 115 KV Bus,6/30/2013,,System Impact Study,Solar,Solar,,,20,,,672
861,withdrawn,3/31/2011,,10/31/2012,,CAISO,LODI 5,,PGAE,san joaquin,,,CA,CAISO,Energy Only,PG&E Valley Springs #2 60 kV Line from Valley Springs to Lockford 60 kV line,,,Feasibility Study,Solar,Solar,,,5,,,673
849,withdrawn,3/31/2011,,,,CAISO,WILLOW SOLAR,,SCE,kern,,,CA,CAISO,Full Capacity,Whirlwind Substation 230kV,,,System Impact Study,Solar,Solar,,,100,,,674
811,withdrawn,3/31/2011,,,,CAISO,GRAHAM SOLAR FARM I EXPANSION,,PGAE,fresno,,,CA,CAISO,Full Capacity,Schindler Substation 115 KV Bus,6/30/2013,,System Impact Study,Solar,Solar,,,20,,,675
739,withdrawn,3/31/2011,,,,CAISO,OTAY MESA ENERGY CENTER UPGRADE,,SDGE,san diego,,,CA,CAISO,Full Capacity,Otay Mesa Substation,3/7/2013,,System Impact Study,Gas,Gas,,,20,,,676
753,withdrawn,3/31/2011,,,,CAISO,RE MONTEREY,,PGAE,fresno,,,CA,CAISO,Full Capacity,Gates - Coalinga #1 70 KV,,,Feasibility Study,Solar,Solar,,,3,,,677
736,withdrawn,3/31/2011,,,,CAISO,MULE MOUNTAIN SOLAR PROJECT,,SCE,riverside,,,CA,CAISO,Full Capacity,Colorado River Substation 230kV bus,1/1/2014,,System Impact Study,Solar,Solar,,,150,,,678
713,withdrawn,3/31/2011,,,,CAISO,HICKORY SOLAR FARM,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley 230kV Sub,7/1/2014,,Feasibility Study,Solar,Solar,,,400,,,679
827,withdrawn,3/31/2011,,,,CAISO,SAN JOAQUIN SOLAR,,PGAE,san joaquin,,,CA,CAISO,Full Capacity,Bellota - Tesla #2 230 KV,2/28/2014,,Feasibility Study,Solar,Solar,,,100,,,680
777,withdrawn,3/31/2011,,,,CAISO,WELLHEAD POWER KERN 3,,SCE,kern,,,CA,CAISO,Full Capacity,Pastoria-Magunden 230kV line,7/1/2015,,Feasibility Study,Gas,Gas,,,400,,,681
821,withdrawn,3/31/2011,,,,CAISO,MADERA SOLAR,,PGAE,madera,,,CA,CAISO,Full Capacity,Borden Sub 70 KV Bus,2/28/2014,,Feasibility Study,Solar,Solar,,,60,,,682
791,withdrawn,3/31/2011,,,,CAISO,WILDFLOWER GREEN ENERGY FARM- SOLAR,,SCE,los angeles,,,CA,CAISO,Full Capacity,Antelope Substation 220kV Bus,7/31/2013,,Feasibility Study,Solar,Solar,,,150,,,683
860,operational,3/31/2011,,,,CAISO,VASCO WIND PROJECT,,PGAE,contra costa,,,CA,CAISO,Partial Capacity,Lone Tree-Cayetano at the Jackson Substation,12/1/2011,,Facility Study,Wind,Wind,,,3.1,,,684
818,withdrawn,3/31/2011,,,,CAISO,LE GRAND CA 20 MW SOLAR PROJECT,,PGAE,merced,,,CA,CAISO,Full Capacity,Le Grand 115 KV,6/30/2013,,Feasibility Study,Solar,Solar,,,20,,,685
767,withdrawn,3/31/2011,,,,CAISO,SOLDIER FLAT,,SCE,kern,,,CA,CAISO,Full Capacity,Highwind Substation 230kV bus,7/1/2015,,Feasibility Study,Wind,Wind,,,400,,,686
865,withdrawn,3/31/2011,,,,CAISO,WELLFIELD SOLAR,,PGAE,kings,,,CA,CAISO,Full Capacity,Hardwick  70 KV sub,7/31/2012,,Feasibility Study,Solar,Solar,,,13,,,687
792,withdrawn,3/31/2011,,,,CAISO,SILURIAN VALLEY WIND,,SCE,san bernardino,,,CA,CAISO,Full Capacity,Ivanpah Substation 220kV bus,9/1/2014,,System Impact Study,Wind,Wind,,,200,,,688
709,operational,3/31/2011,8/19/2014,,,CAISO,GOLDEN HILLS 2 WIND,,PGAE,alameda,,,CA,CAISO,Full Capacity,Tesla Sub 115  KV,,Executed,IA Executed,Wind,Wind,,,36,,,689
712,withdrawn,3/31/2011,,,,CAISO,HARBOR COGENERATION,,SCE,los angeles,,,CA,CAISO,Full Capacity,Harbor Cogeneration Facility,5/1/2015,,System Impact Study,Gas,Gas,,,28,,,690
852,withdrawn,3/31/2011,,,,CAISO,FAVORITO,,SCE,kern,,,CA,CAISO,Full Capacity,Rosamond-Cal Cement 66kV line,6/30/2014,,Feasibility Study,Solar,Solar,,,25,,,691
851,withdrawn,3/31/2011,,,,CAISO,COYOTE CANYON,,SCE,churchill,,,NV,CAISO,Full Capacity,Control Substation 115kV,8/1/2013,,Feasibility Study,Other,Steam Turbine,,,70,,,692
665,withdrawn,3/31/2011,,,,CAISO,GALE AVENUE SOLAR,,PGAE,fresno,,,CA,CAISO,Energy Only,Coalinga #1-Tornado 70kV line; pole number 4/3,1/12/2012,,Feasibility Study,Solar,Solar,,,5,,,693
839,withdrawn,3/31/2011,,,,CAISO,DESERT HARVEST SOLAR FARM,,SCE,imperial,,,CA,CAISO,Full Capacity,Colorado River Substation 230kV bus,,,System Impact Study,Solar,Solar,,,100,,,694
680,withdrawn,3/31/2011,,,,CAISO,KERN SOLAR RANCH (FKA CALIFORNIA SOLAR RANCH),,PGAE,kern,,,CA,CAISO,Full Capacity,Diablo Canyon - Midway #3 500 KV Line,3/31/2018,,System Impact Study,Solar,Solar,,,1000,,,695
704,withdrawn,3/31/2011,,,,CAISO,FORT MOJAVE SOLAR FARMS 2,,SCE,san bernardino,,,CA,CAISO,Full Capacity,Mojave Generating Station 500 kV bus,,,Feasibility Study,Solar,Solar,,,240,,,696
800,withdrawn,3/31/2011,,,,CAISO,ASPIRATION SOLAR E,,PGAE,fresno,,,CA,CAISO,Full Capacity,Mendota-San Joaquin-Helm 70kV,,,Facility Study,Solar,Solar,,,0.1,,,697
847,withdrawn,3/31/2011,,,,CAISO,SUN HILL RANCH SOLAR 1,,SCE,san bernardino,,,CA,CAISO,Full Capacity,Kramer-Victor 115kV line,6/30/2013,,System Impact Study,Solar,Solar,,,20,,,698
770,withdrawn,3/31/2011,,,,CAISO,SUNCREST IMPERIAL SEGS,,SDGE,imperial,,,CA,CAISO,Full Capacity,ECO Sub 230kV,6/30/2015,,Feasibility Study,Other,Steam Turbine,,,1080,,,699
794,withdrawn,3/31/2011,,,,CAISO,TIERRA DEL SOL SOLAR FARM,,SDGE,san diego,,,CA,CAISO,Full Capacity,Boulevard East Substation 138kV,4/30/2015,,Facility Study,Solar,Solar,,,45,,,700
